plump	太	grade2	499	大[large] 人[person] 丶[dot radical (no. 3)]	"<img src=""0592a.svg"">"
meat	肉	grade2	619	冂[upside-down box radical (no. 13)] 人[person]	"<img src=""08089.svg"">"
inside	内	grade2	37	冂[upside-down box radical (no. 13)] 丨[rod radical (no. 2)] 人[person]	"<img src=""05185.svg"">"
sword	刀	grade2	1570		"<img src=""05200.svg"">"
part	分	grade2	17	八[eight] 刀[sword]	"<img src=""05206.svg"">"
cut	切	grade2	174	七[seven] 一[one] 刀[sword]	"<img src=""05207.svg"">"
friend	友	grade2	289	又[or again]	"<img src=""053cb.svg"">"
few	少	grade2	196	小[little] 丿[katakana no radical (no. 4)]	"<img src=""05c11.svg"">"
picture	絵	grade2	559	糸[thread] 幺[short thread radical (no. 52)] 小[little] 会[meeting] 𠆢[top "person" radical] 云[quote] 二[two] 一[one] 厶[katakana mu radical (no. 28)]	"<img src=""07d75.svg"">"
boulder	岩	grade2	906	山[mountain] 石[stone] 口[mouth]	"<img src=""05ca9.svg"">"
say	言	grade2	55	口[mouth]	"<img src=""08a00.svg"">"
plot	計	grade2	247	言[say] 口[mouth] 十[ten]	"<img src=""08a08.svg"">"
word	語	grade2	193	言[say] 口[mouth] 吾[I] 五[five] 二[two] 一[one]	"<img src=""08a9e.svg"">"
wind	風	grade2	230	几[table or windy radical (no. 16)] 丿[katakana no radical (no. 4)] 虫[insect] 中[in] 口[mouth] 丨[rod radical (no. 2)]	"<img src=""098a8.svg"">"
old	古	grade2	305	十[ten] 口[mouth]	"<img src=""053e4.svg"">"
pedestal	台	grade2	381	厶[katakana mu radical (no. 28)] 口[mouth]	"<img src=""053f0.svg"">"
spot	点	grade2	219	占[fortune-telling] 卜[augury] 口[mouth] 灬[fire radical (no. 86)]	"<img src=""070b9.svg"">"
store	店	grade2	57	广[dotted cliff radical (no. 53)] 厂[trailing cliff radical (no. 27)] 占[fortune-telling] 卜[augury] 口[mouth]	"<img src=""05e97.svg"">"
lively	活	grade2	156	氵[water radical (no. 85)] 舌[tongue] 千[thousand] 口[mouth]	"<img src=""06d3b.svg"">"
tale	話	grade2	87	言[say] 口[mouth] 舌[tongue] 千[thousand]	"<img src=""08a71.svg"">"
-times	回	grade2	68	囗[box radical (no. 31)] 口[mouth]	"<img src=""056de.svg"">"
valley	谷	grade2	624	𠆢[top "person" radical] 口[mouth]	"<img src=""08c37.svg"">"
fit	合	grade2	8	𠆢[top "person" radical] 一[one] 口[mouth]	"<img src=""05408.svg"">"
same	同	grade2	121	冂[upside-down box radical (no. 13)] 一[one] 口[mouth]	"<img src=""0540c.svg"">"
capital	京	grade2	275	亠[kettle lid radical (no. 8)] 口[mouth] 小[little]	"<img src=""04eac.svg"">"
tall	高	grade2	86	亠[kettle lid radical (no. 8)] 口[mouth] 冂[upside-down box radical (no. 13)]	"<img src=""09ad8.svg"">"
elder brother	兄	grade2	1024	口[mouth] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""05144.svg"">"
what	何	grade2	106	亻[radical number 9] 可[can] 丁[street] 一[one] 口[mouth] 亅[barb radical (no. 6)]	"<img src=""04f55.svg"">"
song	歌	grade2	465	哥[big brother] 可[can] 丁[street] 一[one] 口[mouth] 亅[barb radical (no. 6)] 欠[lack] 人[person]	"<img src=""06b4c.svg"">"
know	知	grade2	95	矢[dart] 天[heavens] 大[large] 人[person] 口[mouth]	"<img src=""077e5.svg"">"
room	室	grade2	428	宀[katakana u radical (no. 40)] 冖[wa-shaped crown radical (no. 14)] 至[climax] 土[soil]	"<img src=""05ba4.svg"">"
company	社	grade2	59	礻[showing radical (no. 113)] 土[soil]	"<img src=""0793e.svg"">"
run	走	grade2	553	土[soil] 龰[foot (radical)]	"<img src=""08d70.svg"">"
ground	地	grade2	42	土[soil] 也[est] 乙[fishguts]	"<img src=""05730.svg"">"
consider	考	grade2	135	耂[variant of radical 125] 土[soil] 丂[obstruction of breath (qi) as it seeks release] 丿[katakana no radical (no. 4)]	"<img src=""08003.svg"">"
many	多	grade2	138	夕[evening]	"<img src=""0591a.svg"">"
outside	外	grade2	125	夕[evening] 卜[augury]	"<img src=""05916.svg"">"
night	夜	grade2	403	亠[kettle lid radical (no. 8)] 亻[radical number 9] 夕[evening]	"<img src=""0591c.svg"">"
craft	工	grade2	325		"<img src=""05de5.svg"">"
bow	弓	grade2	1788		"<img src=""05f13.svg"">"
pull	引	grade2	180	弓[bow] 丨[rod radical (no. 2)]	"<img src=""05f15.svg"">"
younger brother	弟	grade2	1153	八[eight] 弔[condolences] 弓[bow] 丨[rod radical (no. 2)] 丿[katakana no radical (no. 4)]	"<img src=""05f1f.svg"">"
weak	弱	grade2	908	弓[bow] 冫[two-stroke water radical (no. 15)]	"<img src=""05f31.svg"">"
strong	強	grade2	234	弓[bow] 厶[katakana mu radical (no. 28)] 虫[insect] 中[in] 口[mouth] 丨[rod radical (no. 2)]	"<img src=""05f37.svg"">"
voice	声	grade2	451	士[gentleman]	"<img src=""058f0.svg"">"
week	週	grade2	303	周[circumference] 冂[upside-down box radical (no. 13)] 吉[good luck] 士[gentleman] 口[mouth] ⻌[road (radical)]	"<img src=""09031.svg"">"
sell	売	grade2	127	士[gentleman] 冖[wa-shaped crown radical (no. 14)] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""058f2.svg"">"
read	読	grade2	163	言[say] 口[mouth] 売[sell] 士[gentleman] 冖[wa-shaped crown radical (no. 14)] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""08aad.svg"">"
color	色	grade2	229	𠂊[knife (radical, variant)] 巴[comma-design] 己[self]	"<img src=""08272.svg"">"
scribe	記	grade2	30	言[say] 口[mouth] 己[self]	"<img src=""08a18.svg"">"
Buddhist temple	寺	grade2	825	土[soil] 寸[measurement]	"<img src=""05bfa.svg"">"
market	市	grade2	122	亠[kettle lid radical (no. 8)] 巾[towel]	"<img src=""05e02.svg"">"
elder sister	姉	grade2	1079	女[woman] 市[market] 亠[kettle lid radical (no. 8)] 巾[towel]	"<img src=""059c9.svg"">"
homecoming	帰	grade2	331	刂[standing sword radical (no. 18)] 帚[broom] ⺕[snout] 冖[wa-shaped crown radical (no. 14)] 巾[towel]	"<img src=""05e30.svg"">"
ri	里	grade2	897	日[day]	"<img src=""091cc.svg"">"
black	黒	grade2	590	里[ri] 日[day] 灬[fire radical (no. 86)]	"<img src=""09ed2.svg"">"
yellow	黄	grade2	1048	龷[together (primitive)] 由[wherefore] 八[eight]	"<img src=""09ec4.svg"">"
daytime	昼	grade2	770	尺[shaku] 尸[flag radical (no. 44)] 八[eight] 旦[nightbreak] 日[day] 一[one]	"<img src=""0663c.svg"">"
location	場	grade2	22	土[soil] 昜[open] 旦[nightbreak] 日[day] 一[one] 勿[not] 勹[wrapping radical (no. 20)]	"<img src=""05834.svg"">"
time	時	grade2	19	日[day] 寺[Buddhist temple] 土[soil] 寸[measurement]	"<img src=""06642.svg"">"
write	書	grade2	46	聿[writing brush radical (no. 129)] ⺕[snout] 丨[rod radical (no. 2)] 日[day]	"<img src=""066f8.svg"">"
springtime	春	grade2	664	𡗗[music (primitive)] 三[three] 二[two] 一[one] 大[large] 人[person] 日[day]	"<img src=""06625.svg"">"
association	組	grade2	226	糸[thread] 幺[short thread radical (no. 52)] 小[little] 且[moreover] 月[month] 一[one]	"<img src=""07d44.svg"">"
clear up	晴	grade2	758	日[day] 青[blue] 龶[blue prefix] 月[month]	"<img src=""06674.svg"">"
bright	明	grade2	130	日[day] 月[month]	"<img src=""0660e.svg"">"
in front	前	grade2	41	八[eight] 月[month] 刂[standing sword radical (no. 18)]	"<img src=""0524d.svg"">"
morning	朝	grade2	364	𠦝[mist (primitive)] 十[ten] 早[early] 日[day] 月[month]	"<img src=""0671d.svg"">"
meadow	原	grade2	260	厂[trailing cliff radical (no. 27)] 泉[spring] 白[white] 日[day] 小[little]	"<img src=""0539f.svg"">"
line	線	grade2	301	糸[thread] 幺[short thread radical (no. 52)] 小[little] 泉[spring] 白[white] 日[day] 水[water]	"<img src=""07dda.svg"">"
rice	米	grade2	509	木[tree]	"<img src=""07c73.svg"">"
come	来	grade2	74	米[rice] 木[tree] 丿[katakana no radical (no. 4)]	"<img src=""06765.svg"">"
number	数	grade2	105	娄[surname] 米[rice] 木[tree] 女[woman] 攵[folding chair radical variant (no. 66)] 乂[mow] 丿[katakana no radical (no. 4)]	"<img src=""06570.svg"">"
body	体	grade2	97	亻[radical number 9] 本[book] 木[tree]	"<img src=""04f53.svg"">"
younger sister	妹	grade2	1196	女[woman] 未[not yet] 木[tree]	"<img src=""059b9.svg"">"
east	東	grade2	208	木[tree] 日[day] 丿[katakana no radical (no. 4)]	"<img src=""06771.svg"">"
tea	茶	grade2	542	艹[grass radical (no. 140)] 人[person] 木[tree]	"<img src=""08336.svg"">"
music	楽	grade2	60	白[white] 日[day] 冫[two-stroke water radical (no. 15)] 木[tree]	"<img src=""0697d.svg"">"
autumn	秋	grade2	741	禾[two-branch tree radical (no. 115)] 丿[katakana no radical (no. 4)] 木[tree] 火[fire] 人[person]	"<img src=""079cb.svg"">"
country	国	grade2	51	囗[box radical (no. 31)] 玉[jewel] 王[king] 丶[dot radical (no. 3)]	"<img src=""056fd.svg"">"
logic	理	grade2	58	王[king] 里[ri] 日[day]	"<img src=""07406.svg"">"
heart	心	grade2	111		"<img src=""05fc3.svg"">"
door	戸	grade2	537		"<img src=""06238.svg"">"
fur	毛	grade2	694		"<img src=""06bdb.svg"">"
father	父	grade2	710		"<img src=""07236.svg"">"
mingle	交	grade2	324	亠[kettle lid radical (no. 8)] 父[father]	"<img src=""04ea4.svg"">"
cow	牛	grade2	957		"<img src=""0725b.svg"">"
paper	紙	grade2	638	糸[thread] 幺[short thread radical (no. 52)] 小[little] 氏[family name]	"<img src=""07d19.svg"">"
near	近	grade2	89	斤[axe] ⻌[road (radical)]	"<img src=""08fd1.svg"">"
star	星	grade2	675	日[day] 生[life]	"<img src=""0661f.svg"">"
oneself	自	grade2	34	目[eye]	"<img src=""081ea.svg"">"
neck	首	grade2	798	自[oneself] 目[eye]	"<img src=""09996.svg"">"
road-way	道	grade2	179	首[neck] 自[oneself] 目[eye] ⻌[road (radical)]	"<img src=""09053.svg"">"
summer	夏	grade2	379	一[one] 自[oneself] 目[eye] 夂[winter radical (no. 34)]	"<img src=""0590f.svg"">"
buy	買	grade2	126	罒[net radical variant (no. 122)] 貝[shellfish] 目[eye] 八[eight]	"<img src=""08cb7.svg"">"
head	頭	grade2	327	豆[beans] 一[one] 口[mouth] 䒑[grass radical (variant)] 頁[page] 貝[shellfish] 目[eye] 八[eight]	"<img src=""0982d.svg"">"
straightaway	直	grade2	286	十[ten] 目[eye]	"<img src=""076f4.svg"">"
think	思	grade2	27	田[rice field] 心[heart]	"<img src=""0601d.svg"">"
fish	魚	grade2	796	𠂊[knife (radical, variant)] 田[rice field] 灬[fire radical (no. 86)]	"<img src=""09b5a.svg"">"
dainty	細	grade2	225	糸[thread] 幺[short thread radical (no. 52)] 小[little] 田[rice field]	"<img src=""07d30.svg"">"
brush stroke	画	grade2	77	一[one] 由[wherefore] 田[rice field] 丨[rod radical (no. 2)] 凵[open box radical (no. 17)]	"<img src=""0753b.svg"">"
turn	番	grade2	171	釆[topped rice radical (no. 165)] 丿[katakana no radical (no. 4)] 米[rice] 木[tree] 田[rice field]	"<img src=""0756a.svg"">"
utilize	用	grade2	15		"<img src=""07528.svg"">"
traffic	通	grade2	70	甬[road with walls on both sides] マ[ma (radical)] ㇇[horizontal + left-falling] 用[utilize] ⻌[road (radical)]	"<img src=""0901a.svg"">"
solution	答	grade2	316	竹[bamboo] 合[fit] 𠆢[top "person" radical] 一[one] 口[mouth]	"<img src=""07b54.svg"">"
calculate	算	grade2	574	竹[bamboo] 目[eye] 廾[twenty or letter H radical (no. 55)] 十[ten] 丿[katakana no radical (no. 4)]	"<img src=""07b97.svg"">"
feathers	羽	grade2	1007		"<img src=""07fbd.svg"">"
weekday	曜	grade2	582	日[day] 羽[feathers] 隹[old bird radical (no. 172)] 亻[radical number 9]	"<img src=""066dc.svg"">"
ship	船	grade2	864	舟[boat] 㕣[a marsh at the foot of the hills] 八[eight] 口[mouth]	"<img src=""08239.svg"">"
snow	雪	grade2	874	雨[rain] ⺕[snout]	"<img src=""096ea.svg"">"
electricity	電	grade2	166	雨[rain] 日[day]	"<img src=""096fb.svg"">"
cloud	雲	grade2	1177	雨[rain] 云[quote] 二[two] 一[one] 厶[katakana mu radical (no. 28)]	"<img src=""096f2.svg"">"
long	長	grade2	128		"<img src=""09577.svg"">"
gates	門	grade2	423		"<img src=""09580.svg"">"
interval	間	grade2	24	門[gates] 日[day]	"<img src=""09593.svg"">"
hear	聞	grade2	256	門[gates] 耳[ear]	"<img src=""0805e.svg"">"
direction	方	grade2	12	亠[kettle lid radical (no. 8)]	"<img src=""065b9.svg"">"
stop	止	grade2	377	卜[augury]	"<img src=""06b62.svg"">"
walk	歩	grade2	347	止[stop] 卜[augury] 少[few] 小[little] 丿[katakana no radical (no. 4)]	"<img src=""06b69.svg"">"
department	科	grade2	412	禾[two-branch tree radical (no. 115)] 丿[katakana no radical (no. 4)] 木[tree] 斗[Big Dipper] 丶[dot radical (no. 3)]	"<img src=""079d1.svg"">"
new	新	grade2	28	立[stand up] 亠[kettle lid radical (no. 8)] 木[tree] 斤[axe]	"<img src=""065b0.svg"">"
parent	親	grade2	457	立[stand up] 亠[kettle lid radical (no. 8)] 木[tree] 見[see] 目[eye] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""089aa.svg"">"
