蜂	虫中口丨夆夂丰三二一
融	鬲一口冂儿丿㇟虫中丨
串	口中丨
仲	亻中口丨
沖	氵中口丨
遣	中口丨⻌
古	十口
苦	艹古十口
固	囗古十口
個	亻固囗古十口
居	尸古十口
据	扌居尸古十口
裾	衤居尸古十口
故	古十口攵乂丿
適	啇亠冂古十口⻌
摘	扌啇亠冂古十口
滴	氵啇亠冂古十口
嫡	女啇亠冂古十口
敵	啇亠冂古十口攵乂丿
台	厶口
冶	冫台厶口
始	女台厶口
治	氵台厶口
号	口一
加	力口
司	一口
伺	亻司一口
詞	言口司一
飼	飠司一口
嗣	口冊冂十廾丿司一
占	卜口
点	占卜口灬
店	广厂占卜口
召	刀口
招	扌召刀口
沼	氵召刀口
詔	言口召刀
紹	糸幺小召刀口
舌	千口
乱	舌千口乙
活	氵舌千口
括	扌舌千口
話	言口舌千
回	囗口
各	夂口
客	宀冖各夂口
絡	糸幺小各夂口
落	艹洛氵各夂口
酪	酉西一囗儿丿㇟各夂口
如	女口
谷	𠆢口
俗	亻谷𠆢口
浴	氵谷𠆢口
裕	衤谷𠆢口
容	宀冖谷𠆢口
溶	氵容宀冖谷𠆢口
欲	谷𠆢口欠人
足	口龰
促	亻足口龰
捉	扌足口龰
路	足口各夂
跡	足口亦亠丿亅
踪	足口宗宀冖示二一小
践	足口戋三二一戈弋丿丶
呂	口丿
侶	亻呂口丿
宮	宀冖呂口丿
営	⺍冖呂口丿
呉	口八
娯	女呉口八
誤	言口呉八
虞	虍七一呉口八
倉	人口
創	倉人口刂
句	勹丿口
局	尸句勹丿口
拘	扌句勹丿口
敬	苟艹句勹丿口攵乂
警	敬苟艹句勹丿口攵乂言
合	𠆢一口
拾	扌合𠆢一口
給	糸幺小合𠆢一口
搭	扌荅艹合𠆢一口
同	冂一口
洞	氵同冂一口
興	𦥑同冂一口八
后	厂丿口
叫	口丩丨
豆	一口䒑
登	癶豆一口䒑
澄	氵登癶豆一口䒑
痘	疒豆一口䒑
短	矢天大人豆一口䒑
吹	口欠人
亜	二一口
京	亠口小
涼	氵京亠口小
就	京亠口小尤尢儿丿㇟丶
蹴	足口就京亠小尤尢儿丿㇟丶
事	口⺕亅
官	宀冖口
館	飠官宀冖口
尚	⺌冂口
拐	扌口刀
革	廿十口
高	亠口冂
唇	辰厂口
唯	口隹亻
偉	亻韋口
違	韋口⻌
器	口大人
兄	口儿丿㇟
呪	口兄儿丿㇟
況	氵兄口儿丿㇟
祝	礻兄口儿丿㇟
克	古十兄口儿丿㇟
党	尚⺌冂兄口儿丿㇟
悦	忄兌八兄口儿丿㇟
説	言口兌八兄儿丿㇟
可	丁一口亅
何	亻可丁一口亅
荷	艹何亻可丁一口亅
河	氵可丁一口亅
苛	艹可丁一口亅
奇	大人可丁一口亅
崎	山奇大人可丁一口亅
寄	宀冖奇大人可丁一口亅
歌	哥可丁一口亅欠人
史	口乂丿丨
向	丿冂丨口
吸	口及丿又
別	口勹丿刂
含	今𠆢一口
吟	口今𠆢一
命	人一口卩
呼	口乎丿亅
沿	氵㕣八口
害	宀冖龶口
割	害宀冖龶口刂
唐	广厂⺕口
過	咼冂口⻌
渦	氵咼冂口
禍	礻咼冂口
豪	亠口冖豕
吏	丈一口乂丿
使	亻吏丈一口乂丿
君	尹⺕尸丿口
郡	君尹⺕尸丿口⻏
否	不一丿丨口
知	矢天大人口
痴	疒知矢天大人口
咲	口关天大人
咽	口因囗大人
剣	㑒人一口刂
倹	亻㑒人一口
険	⻖㑒人一口
嘆	口艹夫大人
緯	糸幺小韋口
還	睘罒口𧘇⻌
亭	亠口冖丁一亅
停	亻亭亠口冖丁一亅
悟	忄吾五二一口
喫	口契龶刀大人
漢	氵艹口夫大人
喉	口侯亻矢天大人
難	艹口夫大人隹亻
唆	口夋允厶儿丿㇟夂
隔	⻖鬲一口冂儿丿㇟
喚	口奐𠂊冂儿丿㇟大人
減	氵咸戍厂戈弋一口丿丶
矯	矢天大人喬呑夭丿口冂
土	
去	土厶
却	去土厶卩
法	氵去土厶
圧	厂土
在	亻土
至	厶土
屋	尸至土
握	扌屋尸至土
到	至厶土刂
倒	亻到至厶土刂
室	宀冖至土
致	至厶土攵乂丿
緻	糸幺小致至厶土攵乂丿
窒	穴宀冖八至厶土
吐	口土
赤	亦土
嚇	口赫赤亦土
赦	赤亦土攵乂丿
社	礻土
走	土龰
赴	走土龰卜
徒	彳亻走土龰
超	走土龰召刀口
越	走土龰戉厂戈弋丿丶
地	土也乙
老	耂土匕
佳	亻圭土
堆	土隹亻
墾	豸艮土
考	耂土丂丿
拷	扌考耂土丿
再	一冉冂土
溝	氵冓三二一再冉冂土
講	言口冓三二一再冉冂土
坂	土反厂又
垂	千丿十土
郵	垂千丿十土⻏
唾	口垂千丿十土
怪	忄圣又土
坪	土平干十
茎	艹圣又土
崖	山厂圭土
塚	土冢冖豕
坑	土亢亠几丿
幸	土𢆉䒑干十
報	幸土𢆉䒑干十卩又
執	幸土𢆉䒑干十丸九乙丶
径	彳亻圣又土
挫	扌坐从人土
堂	尚⺌冂口土
掛	扌卦圭土卜
涯	氵厓厂圭土
煙	火人垔覀土
型	刑开干十刂土
座	广厂坐从人土
経	糸幺小圣又土
陸	⻖坴土儿丿㇟
基	其甘廿十八土
堀	土屈尸出山凵
塀	土屏尸并干十
塗	涂氵余𠆢小土
均	土匀勹丿冫二一
陵	⻖夌土儿丿㇟夂
塔	土荅艹合𠆢一口
塞	宀冖三二一八土
域	土或戈弋口一丿丶
